video_id,published_at,title,duration_sec,is_short,views,likes,comments,like_rate_pct,comment_rate_pct,tags,url
pfefmXY7VL0,2026-05-10T15:37:08Z,These 7 Daily Habits Are Reshaping Your Brain Right Now,740,0,427455,0,417,0.0,0.098,focus|focus and concentration|self discipline|discipline habits|strong mind|emotional intelligence|winning attitude|success mindset|achieving success|self improvement|life transformation|productivity habits|mental clarity|dopamine detox|improve memory|focus habits|cognitive performance|brain health|motivation|good habits|daily habits for success|train your mind|improve your brain|how to focus better|mental health education|huberman lab podcast,https://youtu.be/pfefmXY7VL0
eedi4eZA9hI,2026-05-24T15:43:39Z,30 Days of Dopamine Detox: Why You Need to Try This,1083,0,77418,0,162,0.0,0.209,dopamine detox|dopamine reset|brain reset|dopamine overload|focus|self discipline|brain rot|mental clarity|phone addiction|social media addiction|productivity|motivation|deep work|overstimulation|dopamine fasting|digital detox|self improvement|focus tips|discipline|mindset|mental health|rewire your brain|habits|consistency|stop scrolling|tiktok addiction|short form content|how to focus|psychology|attention|dopamine addiction|life improvement|dopamine,https://youtu.be/eedi4eZA9hI
mv8k3ezedfI,2026-05-21T15:34:22Z,How To Build Unbreakable Consistency (Even When You Feel Like Quitting),836,0,72088,0,124,0.0,0.172,consistency|self discipline|discipline|habits|productivity|motivation|focus|self improvement|dopamine detox|habit building|mental clarity|personal growth|success habits|procrastination|deep work|dopamine|mindset|life improvement|motivation video|productivity tips|psychology|atomic habits|discipline motivation|focus improvement|self control|consistency motivation|daily habits|personal development|routine|growth mindset|discipline habits,https://youtu.be/mv8k3ezedfI
q57yfqTxBqU,2026-04-14T15:42:38Z,How You Train Your Brain to Be Happy (The 7 Simple Habits),437,0,70130,0,107,0.0,0.153,happiness habits|train your brain|neuroscience|self improvement|mental health|micro habits|positive psychology|dopamine|emotional intelligence|daily habits|personal growth|confidence building|life transformation|quiet your mind|emotional control,https://youtu.be/q57yfqTxBqU
3QwWPZwXkh0,2026-06-07T15:34:42Z,12 Habits That Rewire Your Brain to Make Quiet Wealth,962,0,52556,0,57,0.0,0.108,quiet wealth|wealth building|money habits|financial freedom|personal finance|money mindset|wealth mindset|how to build wealth|rich habits|self improvement|psychology of money|financial literacy|millionaire habits|success habits|brain rewiring|behavioral finance|money management|financial mindset|financial planning|self discipline|personal growth|wealthy mindset|millionaire|personal finance tips|success mindset|the psychology of money,https://youtu.be/3QwWPZwXkh0
KdbImqB9VYo,2026-04-28T15:39:55Z,Train Your Brain to Stop Negative Thoughts in 30 Days,495,0,39223,0,74,0.0,0.189,stop negative thinking|rewire your brain|how to stop negative thoughts|train your brain|overthinking help|mental discipline|mindset shift|neuroplasticity|break negative patterns|control your mind|self improvement|daily habits for mindset|stop overthinking|thought control techniques|30 day mindset change|how to stop overthinking everything|mindset|brain training,https://youtu.be/KdbImqB9VYo
sSp4SG8uO10,2026-05-19T15:33:17Z,10 Habits Secretly Causing Brain Rot | Fix it Now,807,0,37643,0,132,0.0,0.351,brain rot|dopamine detox|attention span|phone addiction|social media addiction|dopamine addiction|brain fog|short form content|focus improvement|mental clarity|digital addiction|scrolling addiction|dopamine overload|neuroscience|self improvement|how to focus|brain health|TikTok brain|instant gratification|productivity|deep work|concentration|modern habits|overstimulation|discipline|cognitive decline|lazy brain|mental health|brain training,https://youtu.be/sSp4SG8uO10
3M69hatFQW4,2026-05-14T15:39:18Z,The Neuroscience of Breaking Bad Habits | 5 Practical Steps,701,0,37595,0,62,0.0,0.165,neuroscience of habits|how to break bad habits|brain rewiring|rewire your brain|neuroscience explained|change your habits|mental rewiring|dopamine and habits|brain plasticity|neuroplasticity habits|psychology of habits|how to rewire your brain for success|self improvement|brain|bad habits|brain training|neuroscience|atomic habits|break the loop|reset your mind|huberman lab,https://youtu.be/3M69hatFQW4
f7ZVzCk8baQ,2026-06-21T12:29:03Z,These 50 Money Habits Made Me Financially Smarter,1923,0,32960,0,70,0.0,0.212,Money habits|Wealth building habits|Financial freedom|Money mindset|Saving money|Smart spending|Financial psychology|Rich people habits|Long-term wealth building|Financial discipline|Money management|how to save money fast|how to manage money|wealth|personal finance|money saving tips|money saving hacks|how to build wealth|money management|dave ramsey|how to manage your money|personal finance tips|wealth building|psychology of money|quiet wealth,https://youtu.be/f7ZVzCk8baQ
Y6-g_9ASXTU,2026-05-26T15:35:39Z,Confidence Is a Skill: How to Build It From Scratch,1098,0,32643,0,77,0.0,0.236,how to be confident|confidence|how to build confidence|self confidence|confidence mindset|how to stop overthinking|social anxiety|self improvement|brain rewiring|confidence tips|how to become confident|self esteem|discipline and confidence|how to stop caring what people think|brain training|mindset|personal development|mental health|motivation|confidence psychology|self trust|overthinking|how to build self confidence|psychology|how to be more confident,https://youtu.be/Y6-g_9ASXTU
